model_code,model_name,category,sub_category,price,release_year,is_subscription
WM-A001,스마트워시 프로 21kg,세탁기,드럼세탁기,1890000,2025,Y
WM-A002,클린마스터 통돌이 18kg,세탁기,통돌이,890000,2024,N
WM-A003,에코워시 드럼 17kg,세탁기,드럼세탁기,1450000,2024,Y
WM-A004,울트라클린 미니 4kg,세탁기,미니세탁기,590000,2026,N
RF-B001,프레시쿨링 양문형 860L,냉장고,양문형,3200000,2025,Y
RF-B002,김치마스터 스탠드 330L,냉장고,김치냉장고,1890000,2024,N
RF-B003,프리미엄쿨 4도어 920L,냉장고,4도어,4500000,2026,Y
RF-B004,컴팩트프레시 230L,냉장고,일반냉장고,780000,2023,N
AC-C001,에어브리즈 벽걸이 18평,에어컨,벽걸이,1250000,2025,Y
AC-C002,쿨파워 스탠드 30평,에어컨,스탠드,2800000,2025,Y
AC-C003,시스템에어 천장형 40평,에어컨,시스템,4200000,2024,N
AC-C004,미니쿨 이동식 6평,에어컨,이동식,520000,2026,N
DR-D001,히트드라이 프리미엄 19kg,건조기,히트펌프,1650000,2025,Y
DR-D002,퀵드라이 콘덴서 16kg,건조기,콘덴서,1200000,2024,N
DR-D003,에코드라이 올인원 21kg,건조기,히트펌프,2100000,2026,Y
DR-D004,미니드라이 소형 5kg,건조기,콘덴서,650000,2023,N
DW-E001,크린디시 빌트인 14인용,식기세척기,빌트인,1450000,2025,Y
DW-E002,프리워시 프리스탠딩 8인용,식기세척기,프리스탠딩,890000,2024,N
DW-E003,슬림워시 빌트인 12인용,식기세척기,빌트인,1280000,2025,N
DW-E004,미니워시 카운터탑 4인용,식기세척기,카운터탑,490000,2026,N